id,segment_code,code,description
gpc_class_10_1_1,10,0100,Pet Care/Food Variety Packs
gpc_class_10_15_2,10,1500,Pet Drinks
gpc_class_10_16_3,10,1600,Pet Food
gpc_class_10_17_4,10,1700,Pet Accessories
gpc_class_10_18_5,10,1800,Pet Care Variety Packs
gpc_class_11_1_6,11,0100,Centrifugal Pumps
gpc_class_11_2_7,11,0200,Reciprocating Pumps
gpc_class_11_3_8,11,0300,Fire Hydrant Systems
gpc_class_12_1_9,12,0100,Cannabis - Edibles
gpc_class_12_2_10,12,0200,Cannabis - Non-Edibles
gpc_class_12_3_11,12,0300,Tobacco
gpc_class_12_4_12,12,0400,E-Cigarettes and Accessories
gpc_class_12_5_13,12,0500,Non-Tobacco/Non-Cannabis Herbal
gpc_class_12_6_14,12,0600,Smoking Accessories
gpc_class_12_7_15,12,0700,Tobacco/Cannabis/Herbal Products/Smoking Accessories Variety Packs
gpc_class_12_8_16,12,0800,Hemp-based - Non-Edibles
gpc_class_13_1_17,13,0100,Pest/Plant Control Products
gpc_class_13_2_18,13,0200,Plant Chemicals or Natural Agents/Treatments
gpc_class_14_1_19,14,0100,Lamps/Light Bulbs/Lighting
gpc_class_14_2_20,14,0200,Lighting Control Components
gpc_class_14_3_21,14,0300,Lighting - Other
gpc_class_14_4_22,14,0400,Torches/Lanterns/Flashlights
gpc_class_14_5_23,14,0500,Lighting - Replacement Parts/Accessories
gpc_class_47_1_24,47,0100,Cleaning/Hygiene Products Variety Packs
gpc_class_47_2_25,47,0200,Cleaning Aids
gpc_class_47_3_26,47,0300,Laundry and Ironing Aids
gpc_class_47_15_27,47,1500,Fresheners/Deodorisers
gpc_class_47_16_28,47,1600,Cleaners
gpc_class_47_17_29,47,1700,Laundry
gpc_class_47_19_30,47,1900,Surface Care
gpc_class_47_2_31,47,2000,Cleaning Variety Packs
gpc_class_47_21_32,47,2100,Dish Care
gpc_class_50_1_33,50,0100,Animal-derived Edible Products - Prepared/Processed
gpc_class_50_2_34,50,0200,Animal-derived Edible Products - Unprepared/Unprocessed
gpc_class_50_3_35,50,0300,Loose Leaf/Multileaf Salad Greens
gpc_class_50_4_36,50,0400,Peppers
gpc_class_50_5_37,50,0500,Solanacea/Others
gpc_class_50_6_38,50,0600,Citrus
gpc_class_50_7_39,50,0700,Bananas
gpc_class_50_8_40,50,0800,Melons
gpc_class_50_9_41,50,0900,Cucurbits - Inedible Peel
gpc_class_50_1_42,50,1000,Berries/Small Fruit
gpc_class_50_11_43,50,1100,Brassica Vegetables
gpc_class_50_12_44,50,1200,Kiwifruits
